year,cod,asdr
1948,Stroke,157.4
1949,Stroke,176.2
1950,Stroke,180.7
1951,Stroke,181.4
1952,Stroke,180.2
1953,Stroke,179.2
1954,Stroke,173.4
1955,Stroke,177.3
1956,Stroke,177.4
1957,Stroke,183
1958,Stroke,183
1959,Stroke,179
1960,Stroke,177.9
1961,Stroke,173.1
1962,Stroke,174
1963,Stroke,173.9
1964,Stroke,167
1965,Stroke,166.4
1966,Stroke,165.8
1967,Stroke,159.3
1968,Stroke,162.5
1969,Stroke,155.4
1970,Stroke,147.7
1971,Stroke,147.6
1972,Stroke,147.3
1973,Stroke,145.2
1974,Stroke,136.8
1975,Stroke,123.5
1976,Stroke,117.4
1977,Stroke,110.4
1978,Stroke,103.7
1979,Stroke,97.3
1980,Stroke,96.4
1981,Stroke,89.7
1982,Stroke,84.4
1983,Stroke,81.4
1984,Stroke,78.9
1985,Stroke,76.6
1986,Stroke,73.3
1987,Stroke,71.8
1988,Stroke,70.8
1989,Stroke,67.1
1990,Stroke,65.5
1991,Stroke,63.1
1992,Stroke,61.6
1993,Stroke,62.9
1994,Stroke,62.8
1995,Stroke,63.3
1996,Stroke,62.6
1997,Stroke,61.2
1998,Stroke,59.4
1900,Tuberculosis,206
1901,Tuberculosis,200.9
1902,Tuberculosis,183.8
1903,Tuberculosis,185.4
1904,Tuberculosis,195.4
1905,Tuberculosis,187.3
1906,Tuberculosis,185.3
1907,Tuberculosis,185.2
1908,Tuberculosis,171.6
1909,Tuberculosis,165.8
1910,Tuberculosis,163.4
1911,Tuberculosis,166.1
1912,Tuberculosis,155.4
1913,Tuberculosis,154.2
1914,Tuberculosis,151.9
1915,Tuberculosis,150.1
1916,Tuberculosis,149.5
1917,Tuberculosis,155.3
1918,Tuberculosis,159.2
1919,Tuberculosis,135.8
1920,Tuberculosis,123.2
1921,Tuberculosis,106.8
1922,Tuberculosis,105.3
1923,Tuberculosis,101.4
1924,Tuberculosis,96.4
1925,Tuberculosis,93.2
1926,Tuberculosis,94.4
1927,Tuberculosis,87.4
1928,Tuberculosis,86.6
1929,Tuberculosis,83.1
1930,Tuberculosis,78.3
1931,Tuberculosis,74.8
1932,Tuberculosis,69.3
1933,Tuberculosis,65.9
1934,Tuberculosis,62.9
1935,Tuberculosis,61
1936,Tuberculosis,61.7
1937,Tuberculosis,59
1938,Tuberculosis,53.5
1939,Tuberculosis,51.5
1940,Tuberculosis,49.9
1941,Tuberculosis,48
1942,Tuberculosis,46.5
1943,Tuberculosis,45.8
1944,Tuberculosis,44.4
1945,Tuberculosis,43
1946,Tuberculosis,39.5
1947,Tuberculosis,37.1
1948,Tuberculosis,33.7
1949,Tuberculosis,29.4
1950,Tuberculosis,25.5
1951,Tuberculosis,23
1952,Tuberculosis,18.2
1953,Tuberculosis,14.6
1954,Tuberculosis,12.1
1955,Tuberculosis,10.9
1956,Tuberculosis,10.2
1957,Tuberculosis,9.5
1958,Tuberculosis,8.7
1959,Tuberculosis,8
1960,Tuberculosis,7.5
1961,Tuberculosis,6.8
1962,Tuberculosis,6.4
1963,Tuberculosis,6.2
1964,Tuberculosis,5.5
1965,Tuberculosis,5.2
1966,Tuberculosis,4.9
1967,Tuberculosis,4.4
1968,Tuberculosis,3.9
1969,Tuberculosis,3.4
1970,Tuberculosis,3.2
1971,Tuberculosis,2.7
1972,Tuberculosis,2.6
1973,Tuberculosis,2.2
1974,Tuberculosis,2
1975,Tuberculosis,1.9
1976,Tuberculosis,1.7
1977,Tuberculosis,1.6
1978,Tuberculosis,1.5
1979,Tuberculosis,1
1980,Tuberculosis,1
1981,Tuberculosis,1
1982,Tuberculosis,0.9
1983,Tuberculosis,0.9
1984,Tuberculosis,0.8
1985,Tuberculosis,0.8
1986,Tuberculosis,0.8
1987,Tuberculosis,0.8
1988,Tuberculosis,0.8
